阅读,评论,标题,作者,最后更新
231,0,比亚迪跌下来了，难道又回调回去，白涨了？,岁月留痕E,06-16 12:02
31027,0,【午评】沪指跌0.77%，创业板指大跌超3%，石油半导体,华安基金,06-16 12:02
774,0,Omdia：2021年第一季度半导体收入环比增长0.5%至1311,DoNews,06-16 12:02
206,0,下午就上涨了,股友6c1WRt,06-16 12:02
171,0,买车了，无车位停，小心抄牌。,淼焱森垚鑫,06-16 12:00
483,4,大家莫急，今天是受大盘拖累，只要大盘企稳，这股会迅,skyspeed9490,06-16 11:59
645,15,就是手数少点[呲牙],震撼的背影,06-16 11:59
224,0,韭菜旺盛,工行一枝花,06-16 11:58
1555,1,发现很奇怪的一个事。好像每次收到哪天要开临时股东会,基民XyT2Hy,06-16 11:57
278,2,我在223点位站岗！！！,生意是一门艺术,06-16 11:57
525,5,作为150以下坚决唱多的我，默默看着比亚迪到了230之上,吧扉特,06-16 11:56
190,0,看这趋势线今天要跌停,股友Rud1b1,06-16 11:55
236,0,还好跑的快,犀利资深哥,06-16 11:55
490,2,苹果跟比亚迪谈合作了,才望大展的说不得,06-16 11:55
674,8,上次到140，这次估计会到100一下,确实有道理,06-16 11:55
2739,33,散户就是喜自我安慰和意银，美其名曰买的是未来，现在,确实有道理,06-16 11:55
176,0,大盘，13500见,风雪夜归人冫,06-16 11:54
207,0,200在回来[微笑][微笑][微笑],才望民丰地洪七公,06-16 11:49
3309,2,多跌点，都是加仓机会，比亚迪已经今非昔比了，你觉得,基民S6IgJY,06-16 11:48
213,1,有机会回调吗？有的想跑，又不舍得。。,家财来财的苗若兰,06-16 11:48
183,0,还好昨天卖了，等180接回来再,股友dco3C8,06-16 11:48
705,4,比亚迪宁德时代给苹果汽车提供电池，明天高开涨停，走,丶全仓大忌丶,06-16 11:48
264,1,对不住大家了，出仓了,柴来c,06-16 11:47
823,2,上次创始股东公告要减持20多亿，有人说当天一次都减完,Luke31,06-16 11:47
465,2,传：苹果电动汽车正与比亚迪沟通刀片电池采购细节,齐齐劳伦,06-16 11:47
9185,97,比亚迪：员工持股计划存续期届满终止,比亚迪资讯,06-16 11:47
210,0,饮料中的茅台，茅台持股的李子园,获利盘先走,06-16 11:45
